         9327113 function calls (9308042 primitive calls) in 6.906 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.009    0.002 _function_base_impl.py:5238(<genexpr>)
        1    0.000    0.000    0.009    0.009 sdy.py:1(<module>)
        1    0.000    0.000    0.009    0.009 polar.py:1(<module>)
    99092    0.009    0.000    0.009    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.009    0.009 stablehlo.py:1(<module>)
      232    0.000    0.000    0.009    0.000 _compiler.py:571(_code)
     1384    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap>:304(acquire)
    86118    0.008    0.000    0.008    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.008    0.008 lines.py:1(<module>)
  232/216    0.000    0.000    0.008    0.000 typing.py:574(__getitem__)
     2245    0.005    0.000    0.008    0.000 functools.py:36(update_wrapper)
       92    0.001    0.000    0.008    0.000 enum.py:489(__new__)
      216    0.000    0.000    0.008    0.000 typing.py:753(Union)
4738/4212    0.004    0.000    0.008    0.000 {built-in method __new__ of type object at 0x102acbf90}
    55/52    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1322(exec_module)
      536    0.008    0.000    0.008    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.008    0.008 image.py:1(<module>)
      320    0.002    0.000    0.008    0.000 pjit.py:328(_cpp_pjit)
       94    0.000    0.000    0.008    0.000 __init__.py:1399(_preprocess_data)
    55/52    0.004    0.000    0.008    0.000 {built-in method _imp.exec_dynamic}
      436    0.001    0.000    0.008    0.000 typing.py:1423(__init__)
       65    0.000    0.000    0.008    0.000 typing.py:2974(_make_nmtuple)
        1    0.000    0.000    0.007    0.007 qdwh.py:1(<module>)
      200    0.000    0.000    0.007    0.000 pyplot.py:165(_copy_docstring_and_deprecators)
      970    0.000    0.000    0.007    0.000 artist.py:1544(is_alias)
     1295    0.001    0.000    0.007    0.000 traceback_util.py:153(api_boundary)
      100    0.000    0.000    0.007    0.000 pyplot.py:198(_add_pyplot_note)
20160/20153    0.006    0.000    0.007    0.000 {method 'join' of 'str' objects}
     1311    0.005    0.000    0.007    0.000 inspect.py:3010(__init__)
      320    0.000    0.000    0.007    0.000 api_util.py:655(fun_signature)
      712    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:416(__enter__)
      103    0.003    0.000    0.007    0.000 __init__.py:355(namedtuple)
      409    0.000    0.000    0.006    0.000 rcsetup.py:332(validate_color)
        1    0.000    0.000    0.006    0.006 numeric.py:1(<module>)
     6124    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
      614    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
 1133/232    0.003    0.000    0.006    0.000 _compiler.py:37(_compile)
       46    0.000    0.000    0.006    0.000 dataclasses.py:1277(dataclass)
        1    0.000    0.000    0.006    0.006 _finfo.py:1(<module>)
